"","X","sg_d_bg","sg_d_nd","lat","lon","nght_fl","landcvr","cn_mean","cn_max","h_can","cn_med","cn_h_25","cn_h_50","cn_h_60","cn_h_70","cn_h_75","cn_h_80","cn_h_85","cn_h_90","cn_h_95","cn_open","toc_rgh","cn_unc","cn_pho","toc_pho","sb_cn__","beam","filenam","year","month","day","hhmmss","RH_100_ALS","RH_99_ALS","RH_98_ALS","RH_95_ALS","RH_75_ALS","RH_50_ALS","RH_25_ALS"
"98",1156131,194999,195003,35.1521148681641,-111.571174621582,1,121,5.15525817871094,9.233154296875,9.233154296875,4.7921142578125,2.367919921875,2.74267578125,3.415283203125,3.415283203125,3.535888671875,3.647216796875,4.078857421875,4.7392578125,4.7392578125,2.42684650421143,0.676025032997131,68.1932067871094,11,5,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,15.11,11.72875,10.5565,9.20825,6.47225,2.9735,0
"99",1156132,195004,195008,35.1530113220215,-111.571281433105,1,121,5.71786594390869,12.41552734375,12.41552734375,5.221923828125,3.684326171875,4.154052734375,4.188232421875,4.551513671875,4.74658203125,4.853759765625,4.99462890625,5.117919921875,5.221923828125,1.87828326225281,1.68627786636353,61.2337074279785,16,13,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,16.281,12.38977,9.96448000000001,8.3257,5.35625,1.904,0
"100",1156133,195009,195013,35.1539115905762,-111.571388244629,1,121,5.54784250259399,11.080810546875,11.080810546875,5.75341796875,2.31640625,2.65380859375,3.07470703125,3.758056640625,4.125244140625,4.519775390625,5.237060546875,5.6689453125,5.75341796875,2.35705637931824,1.58374786376953,81.0810470581055,22,5,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,15.162,12.23891,11.2057,9.40285,5.833,3.095,0
"101",1156134,195014,195018,35.1548118591309,-111.571502685547,1,121,7.873046875,12.901611328125,12.901611328125,8.18115234375,3.728515625,3.791015625,4.113525390625,4.113525390625,5.70458984375,7.007080078125,7.2119140625,8.100830078125,8.100830078125,3.26893925666809,1.65483236312866,59.9907341003418,9,7,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,19.011,14.49677,13.25254,11.5839,7.764,1.849,0
"102",1156135,195024,195028,35.156608581543,-111.571708679199,1,121,5.8206992149353,19.47265625,19.47265625,1.8040771484375,0.6787109375,0.79931640625,0.870361328125,0.99853515625,1.300537109375,1.420654296875,1.59423828125,1.67236328125,1.75390625,6.30508136749268,1.63700222969055,142.359405517578,31,5,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,23.224,21.08864,19.65332,15.3864,8.552,4.601,0
"103",1156136,195029,195033,35.1575088500977,-111.571815490723,1,121,5.76815176010132,19.93359375,19.93359375,4.0244140625,1.100341796875,1.249267578125,1.314453125,1.336181640625,1.591064453125,1.695068359375,1.8671875,2.0712890625,3.9755859375,5.54002666473389,3.76304817199707,166.165618896484,35,5,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,20.443,17.07188,15.65188,13.6356,7.619,1.187,0
"104",1156137,195039,195043,35.159309387207,-111.572021484375,1,121,6.05771780014038,17.787841796875,17.787841796875,5.531494140625,2.74072265625,2.83837890625,2.887939453125,2.9501953125,2.97900390625,2.97900390625,4.961181640625,5.164306640625,5.531494140625,3.75331616401672,0,82.9663848876953,16,1,5,"1r","ATL08_20190605114210_10420302_005_01.h5",2019,6,5,114210,18.576,15.9091,15.22656,13.6033,9.4285,5.019,0
"105",1533139,194978,194982,35.1508827209473,-111.538635253906,0,121,6.97717809677124,21.08203125,21.08203125,4.95751953125,0.90869140625,1.327880859375,1.38427734375,1.3974609375,1.99169921875,2.943359375,3.53564453125,4.360107421875,4.6474609375,5.87973594665527,1.70514178276062,293.140380859375,43,5,5,"1r","ATL08_20200901140110_10420802_005_01.h5",2020,9,1,140110,22.458,17.12884,15.15884,10.1936,5.481,0.147,0
"106",1533140,194983,194987,35.151782989502,-111.53874206543,0,121,5.20916175842285,19.43896484375,17.225830078125,3.739501953125,1.024169921875,1.4150390625,1.66015625,1.76416015625,2.058837890625,2.304443359375,2.33056640625,2.805908203125,3.739501953125,4.48576164245605,2.04860758781433,326.156280517578,52,3,5,"1r","ATL08_20200901140110_10420802_005_01.h5",2020,9,1,140110,19.245,16.7238,15.7784,13.624,7.041,3.079,0
"107",1533141,194988,194992,35.1526794433594,-111.538841247559,0,121,7.54762601852417,19.35693359375,19.30517578125,4.36962890625,2.248291015625,3.01611328125,3.14794921875,3.283203125,3.42529296875,3.538818359375,3.647705078125,3.710205078125,4.36962890625,5.50720691680908,1.55655300617218,3.40282346638529e+23,45,8,5,"1r","ATL08_20200901140110_10420802_005_01.h5",2020,9,1,140110,15.881,13.29632,12.45364,10.8498,6.488,1.608,0
