"","X.1","X","sg_d_bg","sg_d_nd","lat","lon","nght_fl","landcvr","cn_mean","cn_max","h_can","cn_med","cn_h_25","cn_h_50","cn_h_60","cn_h_70","cn_h_75","cn_h_80","cn_h_85","cn_h_90","cn_h_95","cn_open","toc_rgh","cn_unc","cn_pho","toc_pho","cn_flag","sb_cn_1","sb_cn_2","sb_cn_3","sb_cn_4","sb_cn_5","ls_flag","beam","filenam","year","month","day","hhmmss","RH_100_ALS","RH_99_ALS","RH_98_ALS","RH_95_ALS","RH_75_ALS","RH_50_ALS","RH_25_ALS","ALS_all_grid","ALS_abvg_grid"
"3012",3739,1538725,639560,639564,65.1344375610352,-147.410980224609,1,8,2.6763391494751,7.29306030273438,6.39431762695312,2.40016174316406,1.57620239257812,2.40016174316406,2.83724975585938,3.13650512695312,3.33370971679688,3.69577026367188,4.1307373046875,4.63473510742188,5.31900024414062,1.35530018806458,1.21021175384521,5.78030920028687,49,30,1,1,1,1,1,1,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,6.05,3.0393,1.23579999999999,0.2,0,0,0,0.822521739130435,0.976344827586207
"3013",3740,1538726,639565,639569,65.133544921875,-147.411209106445,1,8,2.19002223014832,5.71084594726562,5.6234130859375,1.81076049804688,1.45574951171875,1.81076049804688,2.04537963867188,2.38009643554688,2.55825805664062,2.87081909179688,3.537841796875,3.921875,5.16140747070312,1.1511971950531,1.07013034820557,5.25694417953491,37,20,1,1,1,1,1,1,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,6.48,2.03759999999998,0.617600000000002,0,0,0,0,1.02323275862069,1.10551401869159
"3014",3741,1538727,639570,639574,65.1326522827148,-147.411422729492,1,8,2.01063418388367,5.56271362304688,3.81292724609375,1.91091918945312,1.378173828125,1.9088134765625,1.9444580078125,2.05450439453125,2.22488403320312,2.48703002929688,2.93801879882812,3.29788208007812,3.79623413085938,0.880161881446838,0.864880502223969,6.29648447036743,37,15,1,1,1,1,1,1,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,4.54,0.21,0,0,0,0,0,0.611865671641791,0.65144
"3015",3742,1538728,639575,639579,65.1317596435547,-147.411651611328,1,8,1.57859194278717,4.16256713867188,4.16256713867188,1.400390625,1.08218383789062,1.40020751953125,1.57785034179688,1.62814331054688,1.67245483398438,1.6949462890625,1.85910034179688,1.93609619140625,3.276123046875,0.691349625587463,0.809850037097931,6.66412162780762,26,4,1,1,1,1,1,1,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,3.13,0.251199999999999,0,0,0,0,0,0.466754385964912,0.492803738317757
"3016",3743,1538729,639580,639584,65.1308670043945,-147.411865234375,1,8,1.6002631187439,3.02902221679688,3.02902221679688,1.47396850585938,1.29232788085938,1.47396850585938,1.6417236328125,1.68887329101562,1.79769897460938,1.94650268554688,2.01223754882812,2.186767578125,3.02902221679688,0.448157876729965,0.464156180620193,8.66311168670654,16,3,1,1,1,1,1,1,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,4.33,1.9701,1.1402,0.190499999999997,0,0,0,1.09742857142857,1.12239024390244
"3017",3744,1538730,639585,639589,65.1299743652344,-147.412109375,1,8,1.57044112682343,2.60498046875,2.60498046875,1.458984375,1.1036376953125,1.40252685546875,1.54037475585938,1.86236572265625,1.914794921875,2.15115356445312,2.15115356445312,2.21365356445312,2.60498046875,0.481286913156509,0.200832113623619,7.76574325561523,11,3,1,1,1,1,1,0,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,6.41,4.63,4.33719999999999,3.9,2.61,0,0,2.86981992797119,2.90058252427184
"3018",3745,1538731,639590,639594,65.1290817260742,-147.412338256836,1,9,1.13215827941895,2.26339721679688,2.26339721679688,0.997467041015625,0.65875244140625,0.988433837890625,1.1534423828125,1.28768920898438,1.34347534179688,1.67745971679688,1.80953979492188,1.86767578125,2.2049560546875,0.506039142608643,0.033337220549583,8.11053943634033,29,3,1,1,1,1,1,1,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,5.72,4.4071,4.06,3.6555,2.16,0,0,2.6935593220339,2.70957369062119
"3019",3746,1538732,639595,639599,65.1281890869141,-147.412551879883,1,9,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,28,0,1,1,0,1,1,1,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,5.92,4.57,4.4,4.14,3.37,0.1,0,3.24576822916667,3.25403394255875
"3020",3747,1538733,639600,639604,65.1272964477539,-147.412796020508,1,9,1.21376955509186,2.99191284179688,2.99191284179688,1.100830078125,0.813690185546875,1.100830078125,1.110107421875,1.26681518554688,1.36480712890625,1.36480712890625,1.41513061523438,1.79318237304688,2.99191284179688,0.551300704479218,0,12.5694742202759,14,1,1,0,1,1,1,1,0,"3r","ATL08_20200122152353_04110605_003_01.h5",2020,1,22,152353,7.76,5,4.74,4.2,0,0,0,3.11413580246914,3.1521125
"3021",3748,1601973,362208,362212,65.1279830932617,-147.545379638672,0,8,10.2114496231079,28.9486999511719,26.3774719238281,11.1496429443359,1.4930419921875,11.0762023925781,14.1448669433594,16.6729431152344,17.2328186035156,17.7012634277344,18.8117065429688,19.8598937988281,21.8083190917969,8.06195259094238,3.00047016143799,8.15154457092285,128,12,1,1,1,1,1,1,0,"3r","ATL08_20200511213710_07080703_003_01.h5",2020,5,11,213710,21.84,20.7509,20.3818,19.61,16.8,11.5,0.66,15.436164921466,15.436164921466
