"","seg_id_beg","seg_id_end","lat","lon","night_flag","landcover","cn_mean","cn_max","h_can","cn_med","cn_h_25","cn_h_50","cn_h_60","cn_h_70","cn_h_75","cn_h_80","cn_h_85","cn_h_90","cn_h_95","cn_open","toc_rough","cn_unc","cn_pho","toc_pho","cn_flag","sub_cn_flag1","sub_cn_flag2","sub_cn_flag3","sub_cn_flag4","sub_cn_flag5","ls_flag","beam","filename","year","month","day","hhmmss"
"78587",362272,362276,65.1338043212891,-147.39306640625,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,35,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78588",362277,362281,65.134880065918,-147.393341064453,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,38,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78589",362282,362286,65.1357727050781,-147.393600463867,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,74,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78590",362287,362291,65.1366653442383,-147.393844604492,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,14,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78591",362292,362296,65.1375503540039,-147.394073486328,0,7,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,31,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78592",362297,362301,65.1384429931641,-147.394302368164,0,7,2.53159856796265,10.6618347167969,10.4603424072266,2.24932098388672,1.04159545898438,2.23377990722656,2.43562316894531,2.59072875976562,2.75433349609375,2.8914794921875,3.24681091308594,4.44779968261719,8.07846069335938,2.09985756874084,0,2.14188051223755,57,1,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78593",362302,362306,65.1393356323242,-147.394546508789,0,7,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,26,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78594",362307,362311,65.1402282714844,-147.394790649414,0,7,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,2,0,1,1,0,0,0,0,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78595",362312,362316,65.1411209106445,-147.39501953125,0,7,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,7,0,1,0,0,0,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
"78596",362317,362321,65.1420135498047,-147.395263671875,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,51,0,1,1,1,1,1,1,0,"1l","ATL08_20190313175422_11500203_003_01.h5","2019","03","13","175422"
